Accel_x,Accel_y,Accel_z
1.093,-0.294,0.458
1.11,-0.276,0.501
1.109,-0.263,0.515
1.097,-0.25,0.531
1.088,-0.253,0.539
1.075,-0.257,0.541
1.048,-0.261,0.534
1.025,-0.263,0.522
0.982,-0.278,0.517
0.943,-0.298,0.506
0.924,-0.335,0.494
0.885,-0.349,0.471
0.836,-0.377,0.458
0.815,-0.404,0.424
0.773,-0.411,0.383
0.728,-0.427,0.365
0.687,-0.438,0.331
0.671,-0.444,0.305
0.642,-0.449,0.283
0.609,-0.453,0.272
0.565,-0.439,0.267
0.546,-0.436,0.277
0.52,-0.421,0.285
0.494,-0.405,0.311
0.482,-0.361,0.346
0.47,-0.337,0.397
0.481,-0.298,0.423
0.488,-0.246,0.477
0.492,-0.224,0.535
0.48,-0.178,0.56
0.45,-0.139,0.597
0.426,-0.096,0.621
0.364,-0.068,0.637
0.298,-0.011,0.643
0.264,0.014,0.647
0.201,0.068,0.643
0.149,0.117,0.64
0.135,0.142,0.646
0.118,0.193,0.651
0.097,0.251,0.651
0.023,0.283,0.64
-0.057,0.379,0.632
-0.094,0.462,0.619
-0.165,0.518,0.597
-0.23,0.641,0.587
-0.312,0.772,0.579
-0.349,0.974,0.604
-0.408,1.008,0.653
-0.473,1.174,0.693
-0.506,1.322,0.79
-0.572,1.401,0.918
-0.653,1.549,0.996
-0.705,1.692,1.156
-0.757,1.752,1.339
-0.78,1.815,1.426
-0.781,1.809,1.577
-0.771,1.763,1.675
-0.727,1.728,1.683
-0.661,1.622,1.639
-0.611,1.48,1.466
-0.423,1.407,1.272
-0.1,1.271,1.169
0.26,1.161,0.96
0.423,1.114,0.78
0.671,1.031,0.695
0.751,0.965,0.514
0.808,0.936,0.366
0.728,0.91,0.313
0.652,0.908,0.278
0.462,0.906,0.301
0.269,0.9,0.408
0.176,0.878,0.559
0.011,0.864,0.717
-0.109,0.846,0.789
-0.15,0.8,0.894
-0.193,0.77,0.934
-0.191,0.701,0.926
-0.172,0.652,0.869
-0.1,0.63,0.785
-0.025,0.588,0.736
0.041,0.538,0.645
0.069,0.495,0.57
0.118,0.479,0.522
0.163,0.454,0.512
0.179,0.441,0.52
0.179,0.433,0.552
0.14,0.419,0.573
0.112,0.409,0.63
0.039,0.411,0.698
-0.035,0.426,0.731
-0.067,0.444,0.786
-0.128,0.457,0.822
-0.174,0.475,0.837
-0.191,0.482,0.868
-0.192,0.499,0.893
-0.185,0.51,0.899
-0.167,0.525,0.906
-0.153,0.529,0.912
-0.111,0.532,0.919
-0.062,0.541,0.925
-0.041,0.555,0.942
0.376,0.706,0.91
0.371,0.715,0.91
0.364,0.725,0.904
0.37,0.728,0.9
0.38,0.725,0.878
0.382,0.697,0.863
0.396,0.677,0.89
0.396,0.671,0.848
0.403,0.646,0.844
0.401,0.63,0.82
0.403,0.624,0.791
0.406,0.61,0.77
0.402,0.601,0.732
0.395,0.598,0.696
0.403,0.585,0.685
0.41,0.585,0.667
0.43,0.585,0.65
0.442,0.578,0.638
0.446,0.575,0.613
0.453,0.574,0.593
0.477,0.558,0.587
0.495,0.533,0.576
0.544,0.519,0.571
0.602,0.498,0.565
0.629,0.477,0.556
0.665,0.465,0.553
0.697,0.434,0.545
0.706,0.418,0.537
0.717,0.396,0.531
0.72,0.389,0.517
0.722,0.397,0.509
0.721,0.405,0.505
0.698,0.416,0.503
0.684,0.423,0.493
0.654,0.425,0.485
0.625,0.415,0.486
0.615,0.398,0.494
0.606,0.395,0.498
0.607,0.397,0.502
0.618,0.393,0.51
0.643,0.37,0.514
0.652,0.321,0.523
0.659,0.291,0.518
0.667,0.235,0.513
0.672,0.182,0.497
0.699,0.156,0.473
0.736,0.094,0.459
0.754,0.02,0.428
0.781,-0.012,0.396
0.79,-0.073,0.375
0.79,-0.112,0.337
0.778,-0.126,0.301
0.758,-0.128,0.273
0.758,-0.125,0.268
0.76,-0.126,0.263
0.769,-0.124,0.257
0.793,-0.102,0.254
0.832,-0.089,0.259
0.852,-0.081,0.266
0.88,-0.081,0.264
0.892,-0.076,0.265
0.891,-0.069,0.278
0.893,-0.07,0.292
0.904,-0.099,0.298
0.913,-0.152,0.305
0.913,-0.205,0.308
0.894,-0.232,0.294
0.857,-0.287,0.284
0.826,-0.324,0.267
0.827,-0.358,0.266
0.854,-0.372,0.26
0.89,-0.376,0.246
0.901,-0.397,0.237
0.888,-0.405,0.239
0.878,-0.404,0.235
0.857,-0.399,0.233
0.846,-0.38,0.229
0.843,-0.365,0.227
0.834,-0.361,0.222
0.824,-0.347,0.21
0.822,-0.33,0.198
0.826,-0.322,0.191
0.834,-0.323,0.192
0.844,-0.338,0.201
0.85,-0.348,0.221
0.863,-0.369,0.232
0.864,-0.388,0.253
0.859,-0.395,0.265
0.854,-0.396,0.278
0.867,-0.391,0.287
0.873,-0.387,0.298
0.871,-0.387,0.307
0.861,-0.386,0.313
0.861,-0.377,0.322
0.861,-0.37,0.334
0.869,-0.358,0.336
0.881,-0.342,0.334
0.891,-0.33,0.316
0.913,-0.306,0.305
0.934,-0.288,0.281
0.947,-0.275,0.261
0.967,-0.276,0.255
0.974,-0.291,0.244
0.972,-0.304,0.228
0.963,-0.334,0.222
0.949,-0.371,0.206
0.94,-0.414,0.196
0.917,-0.437,0.19
0.894,-0.473,0.19
0.875,-0.493,0.19
0.873,-0.499,0.195
0.871,-0.5,0.206
0.871,-0.49,0.211
0.999,-0.481,0.227
0.893,-0.469,0.244
0.908,-0.446,0.254
0.913,-0.422,0.27
0.928,-0.411,0.3
0.975,-0.359,0.297
-0.495,1.309,0.42
-0.505,1.424,0.526
-0.508,1.487,0.631
-0.477,1.545,0.69
-0.426,1.626,0.823
-0.4,1.656,0.95
-0.381,1.728,1.014
-0.397,1.788,1.136
-0.397,1.81,1.253
-0.36,1.812,1.362
-0.264,1.797,1.413
-0.195,1.714,1.464
-0.051,1.658,1.432
0.066,1.551,1.388
0.155,1.449,1.249
0.195,1.383,1.041
0.296,1.238,0.933
0.36,1.092,0.724
0.497,1.026,0.621
0.586,0.923,0.481
0.594,0.883,0.383
0.554,0.817,0.357
0.508,0.765,0.345
0.381,0.741,0.376
0.214,0.697,0.408
0.001,0.663,0.5
-0.052,0.648,0.634
-0.229,0.616,0.704
-0.308,0.589,0.835
-0.424,0.585,0.941
-0.476,0.587,0.984
-0.485,0.579,1.023
-0.463,0.57,1.001
-0.409,0.553,0.975
-0.335,0.532,0.895
-0.287,0.513,0.804
-0.188,0.508,0.709
-0.091,0.508,0.672
-0.039,0.524,0.625
0.071,0.533,0.608
0.158,0.541,0.609
0.183,0.548,0.629
0.214,0.555,0.668
0.199,0.577,0.694
0.158,0.592,0.751
0.13,0.598,0.804
0.075,0.61,0.83
0.049,0.625,0.864
-0.009,0.632,0.887
-0.064,0.636,0.895
-0.09,0.623,0.899
-0.124,0.612,0.894
-0.13,0.598,0.884
-0.127,0.59,0.878
-0.108,0.571,0.75
-0.084,0.557,0.868
-0.073,0.55,0.861
-0.038,0.539,0.862
-0.021,0.535,0.869
0.005,0.531,0.888
0.023,0.531,0.901
0.032,0.544,0.936
0.045,0.551,0.972
