Accel_x,Accel_y,Accel_z
0.409,-0.849,-0.326
0.412,-0.846,-0.327
0.414,-0.842,-0.326
0.409,-0.842,-0.324
0.411,-0.839,-0.319
0.414,-0.839,-0.311
0.418,-0.839,-0.302
0.417,-0.838,-0.292
0.417,-0.835,-0.291
0.414,-0.834,-0.288
0.41,-0.834,-0.296
0.403,-0.833,-0.318
0.395,-0.837,-0.335
0.371,-0.835,-0.373
0.356,-0.837,-0.422
0.331,-0.83,-0.466
0.315,-0.824,-0.494
0.305,-0.813,-0.508
0.299,-0.81,-0.532
0.293,-0.808,-0.543
0.283,-0.805,-0.547
0.273,-0.803,-0.546
0.266,-0.807,-0.543
0.268,-0.808,-0.538
-0.122,-0.224,-1.774
-0.12,-0.289,-1.766
-0.076,-0.303,-1.695
-0.047,-0.245,-1.502
-0.07,-0.12,-1.459
-0.122,-0.022,-1.302
-0.146,0.012,-1.171
-0.189,0.006,-1.083
-0.205,-0.033,-1.073
-0.196,-0.086,-1.083
-0.182,-0.138,-1.096
-0.153,-0.175,-1.089
-0.137,-0.195,-1.105
-0.106,-0.196,-1.021
-0.13,-0.255,-1.074
-0.154,-0.346,-1.08
-0.156,-0.383,-1.051
-0.152,-0.384,-1.001
-0.127,-0.361,-0.953
-0.111,-0.332,-0.823
-0.084,-0.32,-0.672
-0.057,-0.332,-0.59
-0.007,-0.366,-0.436
0.026,-0.42,-0.293
0.103,-0.45,-0.178
0.175,-0.531,-0.009
0.221,-0.626,-0.07
0.235,-0.69,-0.045
0.256,-0.714,-0.056
0.281,-0.732,-0.075
0.331,-0.744,-0.117
0.363,-0.732,-0.161
0.407,-0.726,-0.206
0.438,-0.711,-0.218
0.46,-0.694,-0.215
0.462,-0.669,-0.171
0.462,-0.668,-0.106
0.457,-0.678,-0.049
0.448,-0.686,-0.021
0.444,-0.69,0.028
0.44,-0.691,0.084
0.44,-0.688,0.113
0.459,-0.676,0.19
0.603,-0.675,0.269
0.534,-0.682,0.328
0.591,-0.699,0.368
0.614,-0.716,0.374
0.622,-0.726,0.343
0.623,-0.728,0.277
0.616,-0.724,0.231
0.608,-0.72,0.133
0.606,-0.712,0.033
0.592,-0.71,-0.01
0.57,-0.714,-0.098
0.556,-0.729,-0.158
0.526,-0.732,-0.181
0.501,-0.744,-0.181
0.482,-0.753,-0.158
0.475,-0.756,-0.124
0.466,-0.756,-0.092
0.46,-0.758,-0.079
0.454,-0.761,-0.062
0.453,-0.771,-0.056
0.452,-0.775,-0.05
0.462,-0.786,-0.043
0.483,-0.8,-0.042
0.513,-0.815,-0.043
0.53,-0.829,-0.058
0.545,-0.836,-0.076
0.552,-0.847,-0.088
0.553,-0.854,-0.109
0.548,-0.857,-0.13
0.538,-0.863,-0.139
0.523,-0.862,-0.139
0.516,-0.866,-0.131
0.506,-0.864,-0.111
0.503,-0.864,-0.1
0.503,-0.857,-0.077
0.51,-0.852,-0.052
0.514,-0.849,-0.039
0.513,-0.849,-0.049
0.508,-0.851,-0.059
0.506,-0.856,-0.08
0.507,-0.862,-0.119
0.498,-0.864,-0.152
0.488,-0.873,-0.164
0.486,-0.883,-0.168
0.49,-0.887,-0.152
0.5,-0.887,-0.127
0.51,-0.884,-0.114
0.519,-0.883,-0.078
0.524,-0.879,-0.045
0.538,-0.877,-0.012
0.554,-0.875,0.002
0.564,-0.872,0.02
0.58,-0.871,0.037
0.602,-0.866,0.042
0.612,-0.866,0.047
0.629,-0.868,0.041
0.642,-0.865,0.035
0.647,-0.861,0.018
0.643,-0.858,0.002
0.636,-0.855,-0.006
0.631,-0.852,-0.025
0.5,-0.848,-0.045
0.611,-0.845,-0.052
0.601,-0.84,-0.059
0.587,-0.83,-0.065
0.583,-0.825,-0.059
0.567,-0.822,-0.057
0.552,-0.822,-0.053
0.549,-0.825,-0.044
0.549,-0.827,-0.032
0.546,-0.83,-0.027
0.545,-0.834,-0.017
0.547,-0.837,-0.004
0.55,-0.84,0.003
0.553,-0.842,0.006
0.557,-0.846,0.014
-0.167,-0.188,-1.747
-0.166,-0.201,-1.81
-0.186,-0.24,-1.813
-0.213,-0.218,-1.783
-0.223,-0.198,-1.697
-0.221,-0.179,-1.562
-0.201,-0.203,-1.48
-0.21,-0.29,-1.331
-0.214,-0.219,-1.232
-0.202,-0.263,-1.111
-0.195,-0.296,-1.03
-0.195,-0.33,-1.01
-0.178,-0.389,-1.003
-0.158,-0.434,-1.014
-0.115,-0.455,-0.996
-0.057,-0.436,-0.976
-0.077,-0.442,-1.024
-0.045,-0.455,-0.939
-0.016,-0.454,-0.867
0.03,-0.461,-0.759
0.059,-0.463,-0.704
0.074,-0.454,-0.575
0.088,-0.468,-0.421
0.116,-0.489,-0.34
0.172,-0.537,-0.172
0.201,-0.572,-0.033
0.261,-0.589,0.08
0.312,-0.625,0.153
0.343,-0.649,0.159
0.35,-0.646,0.177
0.367,-0.65,0.192
0.383,-0.664,0.194
0.392,-0.67,0.201
0.409,-0.67,0.233
0.428,-0.673,0.261
0.433,-0.681,0.325
0.439,-0.683,0.383
0.463,-0.683,0.415
0.483,-0.676,0.461
0.488,-0.682,0.48
0.493,-0.683,0.476
0.512,-0.679,0.47
0.521,-0.688,0.442
0.52,-0.694,0.405
0.503,-0.708,0.383
0.498,-0.712,0.342
0.497,-0.71,0.31
0.512,-0.7,0.294
0.539,-0.689,0.266
0.553,-0.686,0.244
0.572,-0.689,0.218
0.583,-0.702,0.203
0.584,-0.717,0.172
0.581,-0.721,0.13
0.575,-0.73,0.111
0.566,-0.742,0.066
0.564,-0.751,0.017
0.556,-0.752,-0.027
0.544,-0.762,-0.051
0.53,-0.775,-0.093
0.522,-0.794,-0.125
0.513,-0.805,-0.141
0.503,-0.827,-0.143
0.5,-0.846,-0.137
0.497,-0.857,-0.125
0.503,-0.864,-0.118
0.502,-0.88,-0.116
0.501,-0.894,-0.112
0.493,-0.901,-0.11
0.491,-0.91,-0.123
0.487,-0.915,-0.135
0.479,-0.927,-0.141
0.483,-0.932,-0.151
0.484,-0.931,-0.153
0.487,-0.933,-0.165
0.483,-0.933,-0.167
0.475,-0.935,-0.176
0.47,-0.934,-0.177
0.465,-0.935,-0.174
0.459,-0.933,-0.164
0.459,-0.934,-0.141
0.459,-0.933,-0.12
0.459,-0.933,-0.107
0.466,-0.932,-0.088
0.47,-0.927,-0.072
0.481,-0.926,-0.061
0.488,-0.923,-0.059
0.492,-0.921,-0.053
0.492,-0.91,-0.052
0.496,-0.91,-0.065
0.502,-0.91,-0.076
0.507,-0.901,-0.082
0.51,-0.895,-0.092
0.514,-0.889,-0.093
0.522,-0.885,-0.085
0.529,-0.877,-0.078
0.537,-0.868,-0.066
0.543,-0.863,-0.048
0.549,-0.852,-0.032
0.553,-0.844,-0.028
0.561,-0.833,-0.022
0.561,-0.822,-0.02
0.561,-0.818,-0.025
0.558,-0.817,-0.028
0.55,-0.818,-0.041
0.55,-0.816,-0.05
0.548,-0.816,-0.053
0.547,-0.816,-0.053
0.548,-0.815,-0.046
0.549,-0.815,-0.031
0.548,-0.817,-0.019
0.547,-0.815,-0.008
0.549,-0.818,-0.003
0.546,-0.819,-0.002
0.545,-0.819,0.002
0.545,-0.817,0.004
0.547,-0.818,0.003
0.547,-0.818,-0.005
0.541,-0.822,-0.013
-0.352,-0.085,-1.638
-0.349,-0.094,-1.659
-0.353,-0.091,-1.668
-0.356,-0.086,-1.673
-0.344,-0.078,-1.671
-0.333,-0.064,-1.658
-0.301,-0.058,-1.631
-0.237,-0.036,-1.619
-0.203,-0.006,-1.592
-0.195,0.028,-1.551
-0.185,0.046,-1.503
-0.178,0.074,-1.469
-0.167,0.088,-1.395
-0.163,0.102,-1.305
-0.151,0.111,-1.22
-0.138,0.133,-1.181
-0.118,0.131,-1.11
-0.11,0.115,-1.065
-0.095,0.107,-1.011
-0.084,0.09,-0.996
-0.077,0.051,-0.981
-0.069,0.035,-0.962
-0.064,0.002,-0.959
-0.06,-0.024,-0.963
-0.063,-0.044,-0.976
-0.067,-0.06,-0.994
-0.069,-0.07,-1.007
-0.071,-0.074,-1.017
-0.069,-0.081,-1.018
-0.068,-0.092,-1.014
-0.071,-0.099,-1.008
-0.073,-0.102,-1.001
-0.073,-0.1,-0.997
-0.075,-0.095,-0.995
-0.08,-0.088,-0.99
-0.088,-0.08,-0.985
-0.091,-0.07,-0.978
-0.097,-0.065,-0.973
-0.095,-0.053,-0.968
-0.09,-0.041,-0.964
-0.085,-0.029,-0.958
-0.079,-0.019,-0.953
-0.072,-0.003,-0.949
-0.064,0.01,-0.949
-0.056,0.016,-0.947
-0.046,0.018,-0.946
-0.032,0.013,-0.944
-0.031,0.006,-0.947
-0.033,-0.003,-0.959
-0.039,-0.005,-0.974
-0.053,-0.012,-0.979
-0.062,-0.021,-0.991
-0.069,-0.032,-0.997
-0.083,-0.037,-1.002
-0.089,-0.049,-1.001
-0.094,-0.056,-0.999
-0.097,-0.057,-0.996
-0.096,-0.056,-0.987
-0.099,-0.053,-0.981
-0.093,-0.043,-0.973
-0.089,-0.037,-0.968
-0.085,-0.023,-0.956
-0.079,-0.019,-0.947
-0.074,-0.009,-0.936
-0.071,-0.013,-0.931
-0.069,-0.013,-0.93
-0.066,-0.013,-0.931
-0.062,-0.014,-0.933
-0.06,-0.013,-0.934
-0.065,-0.014,-0.936
-0.067,-0.018,-0.954
-0.072,-0.021,-0.966
-0.075,-0.026,-0.971
-0.08,-0.029,-0.976
-0.085,-0.032,-0.978
-0.088,-0.032,-0.985
-0.09,-0.036,-0.986
-0.096,-0.039,-0.986
-0.098,-0.042,-0.986
-0.098,-0.04,-0.986
-0.099,-0.033,-0.986
-0.098,-0.03,-0.986
-0.099,-0.031,-0.99
-0.099,-0.03,-0.989
-0.095,-0.026,-0.99
-0.093,-0.03,-0.987
-0.093,-0.03,-0.983
-0.089,-0.025,-0.984
-0.085,-0.025,-0.987
-0.084,-0.022,-0.988
-0.085,-0.02,-0.992
-0.088,-0.02,-0.996
-0.092,-0.023,-0.996
-0.095,-0.027,-0.996
-0.098,-0.028,-0.996
-0.103,-0.026,-0.996
-0.106,-0.022,-0.995
-0.109,-0.02,-0.992
-0.109,-0.02,-0.991
-0.107,-0.026,-0.988
-0.105,-0.026,-0.992
-0.107,-0.032,-0.992
-0.109,-0.04,-0.997
-0.109,-0.039,-0.998
-0.109,-0.041,-0.997
-0.108,-0.042,-0.995
-0.104,-0.044,-0.994
-0.104,-0.043,-0.993
-0.099,-0.047,-0.989
-0.099,-0.048,-0.986
-0.102,-0.049,-0.984
-0.101,-0.041,-0.985
-0.097,-0.039,-0.985
-0.097,-0.037,-0.98
-0.101,-0.034,-0.976
-0.098,-0.028,-0.976
-0.095,-0.023,-0.967
-0.095,-0.019,-0.964
-0.093,-0.017,-0.967
-0.138,-0.243,-1.674
-0.156,-0.274,-1.781
-0.174,-0.285,-1.853
-0.199,-0.264,-1.858
-0.21,-0.246,-1.799
-0.203,-0.24,-1.682
-0.192,-0.221,-1.499
-0.188,-0.168,-1.41
-0.161,-0.199,-1.257
-0.157,-0.205,-1.129
-0.151,-0.21,-1.036
-0.123,-0.237,-0.996
-0.096,-0.264,-0.914
-0.054,-0.314,-0.824
-0.025,-0.391,-0.762
0.016,-0.402,-0.715
0.05,-0.499,-0.684
0.023,-0.56,-0.703
0.041,-0.62,-0.684
0.048,-0.64,-0.676
0.068,-0.647,-0.645
0.079,-0.654,-0.633
0.089,-0.649,-0.61
0.096,-0.642,-0.589
0.115,-0.649,-0.555
0.106,-0.665,-0.532
0.089,-0.671,-0.487
0.084,-0.664,-0.452
0.095,-0.647,-0.406
0.136,-0.643,-0.346
0.173,-0.648,-0.323
0.194,-0.672,-0.289
0.203,-0.688,-0.263
0.221,-0.702,-0.231
0.236,-0.707,-0.212
0.247,-0.712,-0.175
0.276,-0.716,-0.137
0.317,-0.723,-0.121
0.346,-0.737,-0.083
0.358,-0.743,-0.06
0.369,-0.753,-0.047
0.375,-0.755,-0.043
0.378,-0.763,-0.046
0.377,-0.77,-0.056
0.364,-0.788,-0.055
0.347,-0.801,-0.042
0.341,-0.804,-0.027
0.328,-0.784,0.116
0.342,-0.784,0.03
0.349,-0.793,0.05
0.359,-0.792,0.068
0.369,-0.788,0.076
0.372,-0.778,0.09
0.394,-0.78,0.089
0.413,-0.781,0.085
0.419,-0.787,0.072
0.42,-0.793,0.052
0.429,-0.797,0.029
0.435,-0.801,0.013
0.438,-0.802,-0.022
0.447,-0.804,-0.053
0.45,-0.805,-0.069
0.452,-0.811,-0.099
0.45,-0.814,-0.124
0.446,-0.816,-0.143
0.437,-0.822,-0.149
0.419,-0.833,-0.162
0.416,-0.843,-0.194
0.404,-0.847,-0.235
0.39,-0.855,-0.254
0.383,-0.874,-0.293
0.383,-0.891,-0.322
0.379,-0.896,-0.329
0.371,-0.915,-0.327
0.379,-0.926,-0.318
0.383,-0.932,-0.307
0.395,-0.936,-0.295
0.4,-0.941,-0.287
0.412,-0.935,-0.257
0.424,-0.935,-0.211
0.447,-0.935,-0.16
0.473,-0.939,-0.137
0.505,-0.935,-0.087
0.52,-0.929,-0.067
0.532,-0.926,-0.055
0.534,-0.917,-0.052
0.535,-0.914,-0.045
0.539,-0.906,-0.043
0.543,-0.904,-0.043
0.542,-0.896,-0.045
0.537,-0.887,-0.049
0.524,-0.881,-0.048
0.515,-0.871,-0.045
0.509,-0.858,-0.041
0.508,-0.847,-0.041
0.496,-0.84,-0.056
0.474,-0.83,-0.07
0.446,-0.824,-0.098
0.437,-0.826,-0.115
0.436,-0.826,-0.132
0.447,-0.829,-0.136
0.467,-0.833,-0.135
0.477,-0.837,-0.128
0.492,-0.838,-0.122
0.508,-0.84,-0.116
0.527,-0.842,-0.102
0.55,-0.848,-0.091
0.561,-0.852,-0.081
0.577,-0.855,-0.081
0.584,-0.857,-0.082
0.584,-0.86,-0.086
0.589,-0.859,-0.089
0.593,-0.858,-0.088
0.595,-0.852,-0.085
0.594,-0.847,-0.081
0.591,-0.843,-0.075
0.584,-0.841,-0.066
0.58,-0.834,-0.059
0.568,-0.829,-0.051
-0.141,-0.366,-1.582
-0.166,-0.405,-1.778
-0.187,-0.402,-1.929
-0.25,-0.389,-1.989
-0.32,-0.337,-1.984
-0.37,-0.288,-1.9
-0.387,-0.291,-1.749
-0.402,-0.295,-1.61
-0.394,-0.157,-1.534
-0.355,-0.005,-1.337
-0.37,0.157,-1.313
-0.249,0.208,-1.174
-0.131,0.302,-1.112
-0.061,0.329,-0.94
-0.052,0.248,-0.746
-0.07,0.045,-0.569
-0.099,-0.075,-0.416
-0.127,-0.302,-0.337
-0.117,-0.475,-0.204
-0.04,-0.543,-0.122
0.062,-0.682,-0.096
0.139,-0.774,-0.109
0.182,-0.777,-0.05
0.259,-0.732,0.013
0.311,-0.666,0.05
0.336,-0.67,0.158
0.381,-0.682,0.252
0.411,-0.712,0.293
0.428,-0.735,0.359
0.453,-0.734,0.422
0.474,-0.71,0.455
0.486,-0.689,0.522
0.52,-0.696,0.54
0.549,-0.723,0.526
0.557,-0.742,0.478
0.568,-0.743,0.414
0.577,-0.728,0.385
0.584,-0.72,0.326
0.607,-0.718,0.291
0.642,-0.716,0.275
0.684,-0.719,0.247
0.697,-0.73,0.222
0.704,-0.736,0.194
