DateTime,BatteryV,Microphone,TempC,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2/5/2025 2:04,4.08,-9,26.11,-0.0229,-0.0229,1.0355,0.28,-2.38,-0.77
2/5/2025 2:04,4.06,-5,26.08,-0.0224,-0.0254,1.0346,0,-2.45,-0.77
2/5/2025 2:04,4.11,-10,26.12,-0.0215,-0.0244,1.0331,0.21,-2.31,-0.7
2/5/2025 2:04,4.07,3,26.11,-0.0205,-0.0239,1.035,0.28,-2.31,-0.84
2/5/2025 2:04,4.1,2,26.05,-0.0224,-0.0244,1.035,0.14,-2.31,-0.91
2/5/2025 2:04,4.08,-16,26.12,-0.0215,-0.0249,1.036,0.07,-2.38,-0.77
2/5/2025 2:04,4.1,-3,26.11,-0.0224,-0.022,1.0321,0.21,-2.38,-0.77
2/5/2025 2:04,4.1,-9,26.14,-0.021,-0.0249,1.0355,0.21,-2.45,-0.7
2/5/2025 2:04,4.05,-19,26.11,-0.0215,-0.0239,1.0331,0.28,-2.31,-0.7
2/5/2025 2:04,4.06,10,26.09,-0.021,-0.0259,1.0355,0.21,-2.24,-0.91
2/5/2025 2:04,4.08,13,26.08,-0.02,-0.0215,1.0346,0.14,-2.24,-0.98
2/5/2025 2:04,4.08,1,26.12,-0.021,-0.0229,1.0346,0.21,-2.24,-0.84
2/5/2025 2:04,4.09,15,26.14,-0.021,-0.0239,1.035,0.28,-2.38,-0.91
2/5/2025 2:04,4.08,-2,26.12,-0.02,-0.0259,1.0346,0.21,-2.17,-0.91
2/5/2025 2:04,4.08,-13,26.17,-0.0195,-0.0254,1.0355,0.21,-2.31,-0.77
2/5/2025 2:04,4.06,-12,26.16,-0.022,-0.0224,1.0336,0,-2.24,-0.84
2/5/2025 2:04,4.09,-3,26.14,-0.019,-0.0234,1.0355,0.28,-2.31,-0.7
2/5/2025 2:04,4.07,12,26.14,-0.0224,-0.0239,1.037,0,-2.24,-0.77
2/5/2025 2:04,4.1,-8,26.14,-0.022,-0.0224,1.035,0.21,-2.38,-0.98
2/5/2025 2:04,4.06,18,26.14,-0.0205,-0.0224,1.0365,0.07,-2.31,-0.84
2/5/2025 2:04,4.08,-3,26.13,-0.0215,-0.021,1.035,0.14,-2.31,-0.91
2/5/2025 2:04,4.1,-5,26.12,-0.0234,-0.0234,1.0341,0.07,-2.31,-0.91
2/5/2025 2:04,4.07,-4,26.17,-0.0205,-0.0259,1.0331,0.14,-2.38,-0.91
2/5/2025 2:04,4.08,1,26.16,-0.0205,-0.022,1.0346,0.07,-2.38,-0.91
2/5/2025 2:04,4.08,6,26.16,-0.021,-0.0229,1.036,0.28,-2.38,-0.77
2/5/2025 2:04,4.08,-8,26.12,-0.0224,-0.0264,1.035,0.28,-2.31,-0.84
2/5/2025 2:04,4.09,3,26.14,-0.0249,-0.0215,1.035,0,-2.31,-0.77
2/5/2025 2:04,4.06,9,26.17,-0.019,-0.0239,1.0355,0,-2.45,-0.84
2/5/2025 2:04,4.1,7,26.13,-0.0229,-0.0229,1.0341,0.07,-2.24,-0.77
2/5/2025 2:04,4.06,-7,26.18,-0.0205,-0.0229,1.0346,0.14,-2.45,-0.77
2/5/2025 2:05,4.1,0,26.12,-0.019,-0.0229,1.0355,0.07,-2.24,-0.91
2/5/2025 2:05,4.1,7,26.19,-0.0215,-0.0195,1.0341,0.28,-2.38,-0.84
2/5/2025 2:05,4.07,-10,26.21,-0.0205,-0.0234,1.0346,0.14,-2.31,-0.84
2/5/2025 2:05,4.08,-9,26.16,-0.021,-0.0224,1.0346,0.56,-2.45,-0.7
2/5/2025 2:05,4.05,2,26.16,-0.022,-0.0224,1.0341,0.21,-2.31,-0.84
2/5/2025 2:05,4.08,-17,26.14,-0.021,-0.0249,1.0355,0.14,-2.31,-0.91
2/5/2025 2:05,4.07,17,26.18,-0.02,-0.022,1.0346,0.21,-2.38,-0.7
2/5/2025 2:05,4.08,-24,26.12,-0.021,-0.0239,1.0365,0.35,-2.24,-0.84
2/5/2025 2:05,4.08,-5,26.12,-0.021,-0.0224,1.0346,0.21,-2.38,-0.84
2/5/2025 2:05,4.11,-16,26.09,-0.0215,-0.0249,1.0331,0.42,-2.45,-0.91
2/5/2025 2:05,4.08,10,26.13,-0.02,-0.0239,1.036,0.21,-2.45,-0.84
2/5/2025 2:05,4.09,-4,26.12,-0.0224,-0.0215,1.0346,0.28,-2.31,-0.84
2/5/2025 2:05,4.09,-1,26.08,-0.0244,-0.0234,1.036,0.21,-2.45,-0.77
2/5/2025 2:05,4.08,8,26.09,-0.0205,-0.0205,1.0375,0.07,-2.24,-0.98
2/5/2025 2:05,4.06,-9,26.15,-0.0239,-0.0229,1.0341,0.28,-2.45,-0.63
2/5/2025 2:05,4.06,-1,26.15,-0.0234,-0.0244,1.0341,0.35,-2.31,-0.91
2/5/2025 2:05,4.08,2,26.16,-0.0215,-0.0239,1.036,0.28,-2.38,-0.7
2/5/2025 2:05,4.08,14,26.08,-0.0224,-0.0215,1.037,0.28,-2.31,-0.7
